Source;Target;Label;Weight
78;233;Node_78_to_233;0.993901
80;233;Node_80_to_233;0.999113
89;233;Node_89_to_233;0.999053
100;233;Node_100_to_233;0.99925
101;233;Node_101_to_233;0.993818
104;233;Node_104_to_233;0.991336
110;233;Node_110_to_233;0.995883
114;233;Node_114_to_233;0.997671
123;233;Node_123_to_233;0.991469
126;233;Node_126_to_233;0.999177
127;233;Node_127_to_233;0.99598
128;233;Node_128_to_233;0.998727
134;233;Node_134_to_233;0.999593
140;233;Node_140_to_233;0.995272
154;233;Node_154_to_233;0.994138
155;233;Node_155_to_233;0.999622
160;233;Node_160_to_233;0.995161
168;233;Node_168_to_233;0.993692
171;233;Node_171_to_233;0.993407
178;233;Node_178_to_233;0.998763
180;233;Node_180_to_233;0.997946
189;233;Node_189_to_233;0.98649
192;233;Node_192_to_233;0.989529
197;233;Node_197_to_233;0.998016
204;233;Node_204_to_233;0.999504
212;233;Node_212_to_233;0.988331
226;233;Node_226_to_233;0.999084
227;233;Node_227_to_233;0.991305
230;233;Node_230_to_233;0.993297
45;235;Node_45_to_235;0.987537
47;235;Node_47_to_235;0.993739
66;235;Node_66_to_235;0.998461
82;235;Node_82_to_235;0.993527
98;235;Node_98_to_235;0.994716
143;235;Node_143_to_235;0.988927
166;235;Node_166_to_235;0.992472
173;235;Node_173_to_235;0.985723
193;235;Node_193_to_235;0.995488
222;235;Node_222_to_235;0.994492
155;236;Node_155_to_236;0.988961
233;236;Node_233_to_236;0.98602
228;237;Node_228_to_237;0.994253
213;239;Node_213_to_239;0.986185
88;240;Node_88_to_240;0.986409
198;240;Node_198_to_240;0.990095
209;241;Node_209_to_241;0.986488
10;243;Node_10_to_243;0.987174
17;243;Node_17_to_243;0.983832
95;243;Node_95_to_243;0.99637
129;243;Node_129_to_243;0.994156
213;243;Node_213_to_243;0.986807
18;244;Node_18_to_244;0.994094
33;244;Node_33_to_244;0.991875
35;244;Node_35_to_244;0.98379
42;244;Node_42_to_244;0.996464
81;244;Node_81_to_244;0.987112
88;244;Node_88_to_244;0.98587
90;244;Node_90_to_244;0.996903
107;244;Node_107_to_244;0.99762
111;244;Node_111_to_244;0.986973
115;244;Node_115_to_244;0.991833
119;244;Node_119_to_244;0.993309
121;244;Node_121_to_244;0.994747
129;244;Node_129_to_244;0.988107
141;244;Node_141_to_244;0.988571
148;244;Node_148_to_244;0.994489
163;244;Node_163_to_244;0.986654
165;244;Node_165_to_244;0.994388
167;244;Node_167_to_244;0.989064
199;244;Node_199_to_244;0.988182
202;244;Node_202_to_244;0.986171
206;244;Node_206_to_244;0.998211
210;244;Node_210_to_244;0.993345
221;244;Node_221_to_244;0.999078
241;244;Node_241_to_244;0.994352
21;245;Node_21_to_245;0.986139
148;245;Node_148_to_245;0.991815
169;245;Node_169_to_245;0.987945
24;246;Node_24_to_246;0.986895
47;246;Node_47_to_246;0.990202
64;246;Node_64_to_246;0.988673
159;246;Node_159_to_246;0.986772
193;246;Node_193_to_246;0.991044
235;246;Node_235_to_246;0.989488
50;247;Node_50_to_247;0.996861
64;247;Node_64_to_247;0.999174
110;247;Node_110_to_247;0.991841
123;247;Node_123_to_247;0.997239
127;247;Node_127_to_247;0.998585
128;247;Node_128_to_247;0.986766
130;247;Node_130_to_247;0.989796
159;247;Node_159_to_247;0.996855
168;247;Node_168_to_247;0.991652
173;247;Node_173_to_247;0.992446
204;247;Node_204_to_247;0.998395
226;247;Node_226_to_247;0.994713
228;247;Node_228_to_247;0.998187
231;247;Node_231_to_247;0.996911
233;247;Node_233_to_247;0.995905
237;247;Node_237_to_247;0.991527
73;248;Node_73_to_248;0.986997
236;248;Node_236_to_248;0.985807
