Id;Label;AltLabel;color
297;Wallace David Foster;Node_alt_297;#ED6869
298;Waller Robert James;Node_alt_298;#ED6869
299;Walpole Horace;Node_alt_299;#ED6869
300;Waters Sarah;Node_alt_300;#79C074
301;West Nathanael;Node_alt_301;#ED6869
302;Westover Tara;Node_alt_302;#79C074
303;West Rebecca;Node_alt_303;#79C074
304;Wharton Edith;Node_alt_304;#79C074
305;Wiesel Elie;Node_alt_305;#ED6869
306;Wilde Oscar;Node_alt_306;#ED6869
307;Williams John;Node_alt_307;#ED6869
308;Winslow Don;Node_alt_308;#ED6869
309;Winterson Jeanette;Node_alt_309;#79C074
310;Wollstonecraft Mary;Node_alt_310;#79C074
311;Woolf Virginia;Node_alt_311;#79C074
312;Yanagihara Hanya;Node_alt_312;#79C074
313;Yates Richard;Node_alt_313;#ED6869
314;Yoshimoto Banana;Node_alt_314;#79C074
315;Yourcenar Marguerite;Node_alt_315;#79C074
316;Zafón Carlos Ruiz;Node_alt_316;#ED6869
317;Zola Émile;Node_alt_317;#ED6869
318;Le Guin Ursula;Node_alt_318;#79C074
319;Sturgeon Theodore;Node_alt_319;#ED6869
320;Alderman Naomi;Node_alt_320;#79C074
321;McMurtry Larry;Node_alt_321;#ED6869
322;Läckberg Camilla;Node_alt_322;#79C074
323;Abdolah Kader;Node_alt_323;#ED6869
324;Abulhawa Susan;Node_alt_324;#79C074
325;Achebe Chinua;Node_alt_325;#ED6869
326;Adébáyò Ayòbámi;Node_alt_326;#79C074
327;Adiga Aravind;Node_alt_327;#ED6869
328;Agnon Shmuel Yosef;Node_alt_328;#ED6869
329;Agualusa Josè Eduardo;Node_alt_329;#ED6869
330;Akunin Boris;Node_alt_330;#ED6869
331;Alarcón Daniel;Node_alt_331;#ED6869
332;Aleksievič Svetlana;Node_alt_332;#79C074
333;Alem Raja'a;Node_alt_333;#79C074
334;Ali Sabahattin;Node_alt_334;#ED6869
335;Amado Jorge;Node_alt_335;#ED6869
336;Anand Mulk Râj;Node_alt_336;#ED6869
337;Anderson Poul;Node_alt_337;#ED6869
338;Antunes António Lobo;Node_alt_338;#ED6869
339;Anwar Arif;Node_alt_339;#ED6869
340;Anyi Wang;Node_alt_340;#79C074
341;Appelfeld Aharon;Node_alt_341;#ED6869
342;Aramburu Fernando;Node_alt_342;#ED6869
343;Arguedas José María;Node_alt_343;#ED6869
344;Arlt Roberto;Node_alt_344;#ED6869
345;Atogun Odafe;Node_alt_345;#ED6869
346;Aw Tash;Node_alt_346;#ED6869
347;Aziz Abdel Basma;Node_alt_347;#79C074
348;Azuela Mariano;Node_alt_348;#ED6869
349;Badani Sejal;Node_alt_349;#79C074
350;Barrett Igoni A;Node_alt_350;#ED6869
351;Batalha Martha;Node_alt_351;#79C074
352;Beah Ishmael;Node_alt_352;#ED6869
353;Beckett Samuel;Node_alt_353;#ED6869
354;Belli Gioconda;Node_alt_354;#79C074
355;Benmalek Anouar;Node_alt_355;#ED6869
356;Berberova Nina Nikolaevna;Node_alt_356;#79C074
357;Binebine Mahi;Node_alt_357;#ED6869
358;Blixen Karen;Node_alt_358;#79C074
359;Bodrožić Ivana;Node_alt_359;#79C074
360;Böll Heinrich;Node_alt_360;#ED6869
361;Borgo Sainz Karina;Node_alt_361;#79C074
362;Bradley Alan;Node_alt_362;#ED6869
363;Brooks Geraldine;Node_alt_363;#79C074
364;Brooks Terry;Node_alt_364;#ED6869
365;Brown Daniel;Node_alt_365;#ED6869
366;Burroughs William S;Node_alt_366;#ED6869
367;Caldwell Erskine;Node_alt_367;#ED6869
368;Canetti Elias;Node_alt_368;#ED6869
369;Carey Peter;Node_alt_369;#ED6869
370;Carpentier Alejo;Node_alt_370;#ED6869
371;Cărtărescu Mircea;Node_alt_371;#ED6869
372;Casares Adolfo Bioy;Node_alt_372;#ED6869
373;Castaneda Carlos;Node_alt_373;#ED6869
374;Cave Nick;Node_alt_374;#ED6869
375;Cela Camilo José;Node_alt_375;#ED6869
376;Cercas Javier;Node_alt_376;#ED6869
377;Chandra Vikram;Node_alt_377;#ED6869
378;Chang Jung;Node_alt_378;#79C074
379;Chavarría Daniel;Node_alt_379;#ED6869
380;Guevara Ernesto;Node_alt_380;#ED6869
381;Cixin Liu;Node_alt_381;#ED6869
382;Clancy Tom;Node_alt_382;#ED6869
383;Clark Georgia;Node_alt_383;#79C074
384;Cobb Humphrey;Node_alt_384;#ED6869
385;Cole Teju;Node_alt_385;#ED6869
386;Coloane Francisco;Node_alt_386;#ED6869
387;Correa Armando Lucas;Node_alt_387;#ED6869
388;Cortázar Julio;Node_alt_388;#ED6869
389;Cossery Albert;Node_alt_389;#ED6869
390;Couto Mia;Node_alt_390;#ED6869
391;Crane Stephen;Node_alt_391;#ED6869
392;Dahl Roald;Node_alt_392;#ED6869
393;Dalton Trent;Node_alt_393;#ED6869
394;d'Annunzio Gabriele;Node_alt_394;#ED6869
395;De Amicis Edmondo;Node_alt_395;#ED6869
396;de Balzac Honoré;Node_alt_396;#ED6869
397;de Beauvoir Simone;Node_alt_397;#79C074
398;Deledda Grazia;Node_alt_398;#79C074
399;Delijani Sahar;Node_alt_399;#79C074
400;De Pontes Peebles Frances;Node_alt_400;#79C074
401;de Sade Marquis;Node_alt_401;#ED6869
402;Desai Anita;Node_alt_402;#79C074
403;Díaz Junot;Node_alt_403;#ED6869
404;Dirie Waris;Node_alt_404;#79C074
405;Divakaruni Chitra Banerjee;Node_alt_405;#79C074
406;Djebar Assia;Node_alt_406;#79C074
407;Doshi Tishani;Node_alt_407;#79C074
408;Douaihy Jabbour;Node_alt_408;#ED6869
409;Dovlatov Sergei;Node_alt_409;#ED6869
410;Dueñas María;Node_alt_410;#79C074
411;Emezi Akwaeke;Node_alt_411;#79C074
412;Endō Shūsaku;Node_alt_412;#ED6869
413;Twan Eng Tan;Node_alt_413;#ED6869
414;Enríquez Mariana;Node_alt_414;#79C074
415;Ernaux Annie;Node_alt_415;#79C074
416;Erpenbeck Jenny;Node_alt_416;#79C074
417;Escobar Melba;Node_alt_417;#79C074
418;Esquivel Laura;Node_alt_418;#79C074
419;Eteraz Ali;Node_alt_419;#ED6869
420;Ferguson Will;Node_alt_420;#ED6869
421;Flanagan Richard;Node_alt_421;#ED6869
422;Fogazzaro Antonio;Node_alt_422;#ED6869
423;Foroutan Parnaz;Node_alt_423;#79C074
424;Fraillon Zana;Node_alt_424;#79C074
425;Frame Janet;Node_alt_425;#79C074
426;France Anatole;Node_alt_426;#ED6869
427;Fuentes Carlos;Node_alt_427;#ED6869
428;Gallmann Kuki;Node_alt_428;#79C074
429;Gamboa Santiago;Node_alt_429;#ED6869
430;Gappah Petina;Node_alt_430;#79C074
431;Ghosh Amitav;Node_alt_431;#ED6869
432;Glass Emma;Node_alt_432;#79C074
433;Gordimer Nadine;Node_alt_433;#79C074
434;Grenville Kate;Node_alt_434;#79C074
435;Grimm Jacob Wilhelm;Node_alt_435;#ED6869
436;Grisham John;Node_alt_436;#ED6869
437;Grossman David;Node_alt_437;#ED6869
438;Grossman Vasily;Node_alt_438;#ED6869
439;Gundar-Goshen Ayelet;Node_alt_439;#79C074
440;Gyasi Yaa;Node_alt_440;#79C074
441;El Hachmi Najat;Node_alt_441;#79C074
442;Hammett Dashiell;Node_alt_442;#ED6869
443;Hampson Amanda;Node_alt_443;#79C074
444;Ham Rosalie;Node_alt_444;#79C074
445;Handke Peter;Node_alt_445;#ED6869
446;Hartnett Sonya;Node_alt_446;#79C074
447;Hawthorne Nathaniel;Node_alt_447;#ED6869
448;Hay Ashley;Node_alt_448;#79C074
449;Hedayat Sadeq;Node_alt_449;#ED6869
450;Heng Rachel;Node_alt_450;#79C074
451;Hepworth Sally;Node_alt_451;#79C074
452;Hirata Andrea;Node_alt_452;#ED6869
453;Høeg Peter;Node_alt_453;#ED6869
454;Howard Robert;Node_alt_454;#ED6869
455;Hua Yu;Node_alt_455;#ED6869
456;Hubbard Ron;Node_alt_456;#ED6869
457;Ibrahim Djamila;Node_alt_457;#79C074
458;Irving Washington;Node_alt_458;#ED6869
459;James EL;Node_alt_459;#79C074
460;Jebreal Rula;Node_alt_460;#79C074
461;Jian Ma;Node_alt_461;#ED6869
462;Johnson Uwe;Node_alt_462;#ED6869
463;Jones Diana;Node_alt_463;#79C074
464;Jordan Toni;Node_alt_464;#79C074
465;Jufresa Laia;Node_alt_465;#79C074
466;Jünger Ernst;Node_alt_466;#ED6869
467;Kakuta Mitsuyo;Node_alt_467;#79C074
468;Kandasamy Meena;Node_alt_468;#79C074
469;Kan Karoline;Node_alt_469;#79C074
470;Kawaguchi Toshikazu;Node_alt_470;#ED6869
471;Kawakami Mieko;Node_alt_471;#79C074
472;Kazantzakis Nikos;Node_alt_472;#ED6869
473;Kehlmann Daniel;Node_alt_473;#ED6869
474;Kent Hannah;Node_alt_474;#79C074
475;Kertész Imre;Node_alt_475;#ED6869
476;Khadra Yasmina;Node_alt_476;#ED6869
477;Khal Abdo;Node_alt_477;#ED6869
478;Khalifa Khaled;Node_alt_478;#ED6869
479;Un-su Kim;Node_alt_479;#ED6869
480;Kincaid Jamaica;Node_alt_480;#79C074
481;Kirino Natsuo;Node_alt_481;#79C074
482;Krien Daniela;Node_alt_482;#79C074
483;Kulin Ayşe;Node_alt_483;#79C074
484;Kureishi Hanif;Node_alt_484;#ED6869
485;Kurniawan Eka;Node_alt_485;#ED6869
486;Lange Norah;Node_alt_486;#79C074
487;Lapena Shari;Node_alt_487;#79C074
488;Lawrence DH;Node_alt_488;#ED6869
489;Laxness Halldór;Node_alt_489;#ED6869
490;Lee Jung-Myung;Node_alt_490;#ED6869
491;Lee Krys;Node_alt_491;#79C074
492;Lemebel Pedro;Node_alt_492;#ED6869
493;Lessing Doris;Node_alt_493;#79C074
494;Lewis Sinclair;Node_alt_494;#ED6869
495;Lianke Yan;Node_alt_495;#ED6869
496;Lilin Nicolai;Node_alt_496;#ED6869
497;Link Charlotte;Node_alt_497;#79C074
498;Vargas Llosa Mario;Node_alt_498;#ED6869
499;Loe Erlend;Node_alt_499;#ED6869
500;Lokko Lesley;Node_alt_500;#79C074
501;Luiselli Valeria;Node_alt_501;#79C074
502;Maalouf Amin;Node_alt_502;#ED6869
503;Maarouf Mazen;Node_alt_503;#ED6869
504;Mabanckou Alain;Node_alt_504;#ED6869
505;Machen Arthur;Node_alt_505;#ED6869
506;Mahfuz Nagib;Node_alt_506;#ED6869
507;Mailer Norman;Node_alt_507;#ED6869
508;Ling Ma;Node_alt_508;#79C074
509;Malouf David;Node_alt_509;#ED6869
510;Manicka Rani;Node_alt_510;#79C074
511;Mansfield Katherine;Node_alt_511;#79C074
512;Manta Lena;Node_alt_512;#79C074
513;Manzoni Alessandro;Node_alt_513;#ED6869
514;Maraini Dacia;Node_alt_514;#79C074
515;Markandaya Kamala;Node_alt_515;#79C074
516;Martínez Guillermo;Node_alt_516;#ED6869
517;Matlwa Kopano;Node_alt_517;#79C074
518;Matsumoto Seichō;Node_alt_518;#ED6869
519;Somerset William;Node_alt_519;#ED6869
520;du Maurier Daphne;Node_alt_520;#79C074
521;Mbue Imbolo;Node_alt_521;#79C074
522;McCullough Colleen;Node_alt_522;#79C074
523;Mda Zakes;Node_alt_523;#ED6869
524;Mehran Marsha;Node_alt_524;#79C074
525;Mengestu Dinaw;Node_alt_525;#ED6869
526;Mengiste Maaza;Node_alt_526;#79C074
