Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
753;Glyn Elinor;Node_alt_753;1;1907;1;0;0;0
754;Goldsmith Oliver;Node_alt_754;0;1769;1;0;0;0
755;Grahame Kenneth;Node_alt_755;0;1908;1;0;0;1
756;Greer Andrew Sean;Node_alt_756;0;2017;2;0;0;1
757;Gurnah Abdulrazak;Node_alt_757;0;2007;5;0;1;1
758;Hachtroudi Fariba;Node_alt_758;1;2016;4;1;0;0
759;Haggard Rider;Node_alt_759;0;1896;1;0;0;0
760;Haley Alex;Node_alt_760;0;1976;2;0;0;0
761;Halfon Eduardo;Node_alt_761;0;2008;3;1;0;0
762;Haratischwili Nino;Node_alt_762;1;2014;4;1;0;0
763;Harding Paul;Node_alt_763;0;2001;2;0;0;1
764;Hašek Jaroslav;Node_alt_764;0;1923;1;1;0;0
765;Hegi Ursula;Node_alt_765;1;1994;1;0;0;0
766;Heinlein Robert A.;Node_alt_766;0;1961;2;0;0;0
767;Heller Joseph;Node_alt_767;0;1961;2;0;0;1
768;Herbert Frank;Node_alt_768;0;1965;2;0;0;1
769;Herlihy James;Node_alt_769;0;1965;2;0;0;0
770;Hernandez Felisberto;Node_alt_770;0;1993;3;1;0;0
771;Herrera Yuri;Node_alt_771;0;2009;3;1;0;1
772;Heyer Georgette;Node_alt_772;1;1930;1;0;0;0
773;Higgins Jack;Node_alt_773;0;1975;1;0;0;0
774;Hilton James;Node_alt_774;0;1934;1;0;0;0
775;Hinton SE;Node_alt_775;1;1967;2;0;0;0
776;Hollinghurst Alan;Node_alt_776;0;1996;1;0;0;1
777;Hume Fergus;Node_alt_777;0;1899;1;0;0;0
778;Hustvedt Siri;Node_alt_778;1;2003;2;0;0;0
779;Jacobson Howard;Node_alt_779;0;2012;1;0;0;1
780;James Marlon;Node_alt_780;1;2014;3;0;0;1
781;Jelloun Tahar Ben;Node_alt_781;0;2009;5;1;0;0
782;Jhabvala Ruth Prawer;Node_alt_782;1;1975;1;0;0;1
783;Jong Erica;Node_alt_783;1;1973;2;0;0;0
784;Kadare Ismail;Node_alt_784;0;1988;1;1;0;1
785;Kawakami Hiromi;Node_alt_785;1;1999;4;1;0;0
786;Kennedy William;Node_alt_786;0;1983;2;0;0;1
787;Kerr Judith;Node_alt_787;1;1971;1;0;0;0
788;Khoury Elias;Node_alt_788;0;2003;4;1;0;0
789;Kingsolver Barbara;Node_alt_789;1;1998;2;0;0;0
790;Koestler Arthur;Node_alt_790;0;1940;1;1;0;0
791;Koonchung Chan;Node_alt_791;1;2012;4;1;0;0
792;Kuang RF;Node_alt_792;1;2018;4;0;0;0
793;Kwan Kevin;Node_alt_793;0;2013;4;0;0;0
794;Lagerkvist Pär;Node_alt_794;0;1947;1;1;1;1
795;Lagerlöf Selma;Node_alt_795;1;1891;1;1;1;1
796;LeBlanc Maurice;Node_alt_796;0;1911;1;1;0;0
797;Le Fanu Sheridan;Node_alt_797;0;1868;1;0;0;0
798;L'Engle Madeleine;Node_alt_798;1;1962;2;0;0;0
799;Lermontov Mikhail;Node_alt_799;0;1840;1;1;0;0
800;Leskov Nikolai;Node_alt_800;0;1873;1;1;0;0
801;Lively Penelope;Node_alt_801;1;1981;5;0;0;1
802;Li Yiyun;Node_alt_802;1;2012;4;0;0;1
803;Lowry Lois;Node_alt_803;1;1993;2;0;0;0
804;Lurie Alison;Node_alt_804;1;1984;2;0;0;1
805;MacDonald Ann-Marie;Node_alt_805;1;1996;2;0;0;0
806;Mai Que Nguyễn Phan;Node_alt_806;1;2020;4;0;0;0
807;Majumdar Megha;Node_alt_807;1;2020;4;0;0;1
808;Makumbi Nansubuga Jennifer;Node_alt_808;1;2017;5;0;0;0
809;Mantel Hilary;Node_alt_809;1;2011;1;0;0;1
810;Puzo Mario;Node_alt_810;0;1969;2;0;0;1
811;Markaris Petros;Node_alt_811;0;2000;4;1;0;0
812;Matar Hisham;Node_alt_812;0;2011;5;0;0;0
813;Maturin Charles;Node_alt_813;0;1820;1;0;0;0
814;McCourt Frank;Node_alt_814;0;1996;1;0;0;0
815;McLeod Cynthia;Node_alt_815;1;1987;3;1;0;0
816;Metalious Grace;Node_alt_816;1;1956;2;0;0;0
817;Millhauser Steven;Node_alt_817;0;1996;2;0;0;1
818;Mitchell Margaret;Node_alt_818;1;1936;2;0;0;1
819;Miyabe Miyuki;Node_alt_819;1;2004;4;1;0;0
820;Montgomery LM;Node_alt_820;1;1908;2;0;0;1
821;Mulisch Harry;Node_alt_821;0;1992;1;1;0;0
822;Warren Patricia;Node_alt_822;1;1974;2;0;0;0
823;Nelson Maggie;Node_alt_823;1;2015;2;0;0;1
824;Nguyen Viet Thanh;Node_alt_824;0;2016;4;0;0;1
825;Ondaatje Michael;Node_alt_825;0;1992;4;0;0;1
826;Oppenheim Edward Phillips;Node_alt_826;0;1925;1;0;0;0
827;Orczy Emma;Node_alt_827;1;1910;1;0;0;0
828;Ozeki Ruth;Node_alt_828;1;2013;2;0;0;0
829;Parkin Gaile;Node_alt_829;1;2009;5;0;0;0
830;Pasolini Pier Paolo;Node_alt_830;0;1955;1;1;0;0
831;Bowles Paul;Node_alt_831;0;1949;2;0;0;0
832;Pierre DBC;Node_alt_832;0;2003;6;0;0;1
833;Powers Richard;Node_alt_833;0;2018;2;0;0;1
834;Puig Manuel;Node_alt_834;0;1973;3;1;0;0
835;Queen Ellery;Node_alt_835;0;1931;2;0;0;0
836;Radcliffe Ann;Node_alt_836;1;1792;1;0;0;0
837;Rahimi Atiq;Node_alt_837;0;2006;4;1;0;0
838;Rawlings Marjorie Kinnan;Node_alt_838;1;1938;2;0;0;1
839;Reage Pauline;Node_alt_839;1;1954;1;1;0;0
840;Reeve Clara;Node_alt_840;1;1778;1;0;0;0
841;Renault Mary;Node_alt_841;1;1970;1;0;0;0
842;Rendell Ruth;Node_alt_842;1;1981;1;0;0;0
843;Restrepo Laura;Node_alt_843;1;2004;3;1;0;0
844;Rhys Jean;Node_alt_844;1;1953;3;0;0;0
845;Rice Anne;Node_alt_845;1;1991;2;0;0;0
846;Richardson Samuel;Node_alt_846;0;1740;1;0;0;0
847;Robbins Harold;Node_alt_847;0;1976;2;0;0;0
848;Rogers Rosemary;Node_alt_848;1;1992;2;0;0;0
849;Rong Jiang;Node_alt_849;0;2004;4;1;0;0
850;Roth Joseph;Node_alt_850;0;1932;1;1;0;0
851;Roth Veronica;Node_alt_851;1;2011;2;0;0;0
852;Russo Meredith;Node_alt_852;1;2016;2;0;0;0
853;Russo Richard;Node_alt_853;0;2001;2;0;0;1
854;Sabatini Rafael;Node_alt_854;0;1919;1;0;0;0
855;Sand George;Node_alt_855;1;1836;1;1;0;0
856;Schlink Bernhard;Node_alt_856;0;1995;1;1;0;0
857;Schwarz Christina;Node_alt_857;1;2000;2;0;0;0
